audio_file,language,filter_method,sensitive_words_count,audio_duration,total_time,real_time_factor,memory_used,segments_count,filtered_words_count,success,test_case,word_set,length_category
【订阅 酷哥酷发明爆笑合集 收听更多】酷哥爱美食1第3集，东坡肉_1.mp3,zh,DFA,3,215.72,25.554523944854736,0.11846154248495613,662.0625,91,17,True,basic_performance,small,
【订阅 酷哥酷发明爆笑合集 收听更多】酷哥爱美食1第3集，东坡肉_1.mp3,zh,aho_corasick,3,215.72,25.316810607910156,0.11735958931907174,37.13671875,91,17,True,basic_performance,small,
【订阅 酷哥酷发明爆笑合集 收听更多】酷哥爱美食1第3集，东坡肉_1.mp3,zh,trie_tree,3,215.72,25.646286964416504,0.11888692269801829,-12.95703125,91,17,True,basic_performance,small,
【订阅 酷哥酷发明爆笑合集 收听更多】酷哥爱美食1第3集，东坡肉_1.mp3,zh,replace,3,215.72,27.169315338134766,0.125947132107059,15.08203125,91,17,True,basic_performance,small,
【订阅 酷哥酷发明爆笑合集 收听更多】酷哥爱美食1第3集，东坡肉_1.mp3,zh,regular_expression,3,215.72,26.764134883880615,0.12406886187595316,-3.22265625,91,17,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_1.mp3,zh,DFA,3,281.04,35.250755310058594,0.12542967303607527,31.62109375,83,31,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_1.mp3,zh,aho_corasick,3,281.04,34.931485176086426,0.12429364210107609,-18.55078125,83,31,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_1.mp3,zh,trie_tree,3,281.04,34.971420764923096,0.12443574140664351,28.3125,83,31,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_1.mp3,zh,replace,3,281.04,35.838597536087036,0.12752134050699912,-29.9921875,83,31,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_1.mp3,zh,regular_expression,3,281.04,35.62987208366394,0.1267786510235694,31.76953125,83,31,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_2.mp3,zh,DFA,3,265.82,36.26055717468262,0.13641019176391023,34.8359375,117,16,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_2.mp3,zh,aho_corasick,3,265.82,36.99065065383911,0.13915676267338467,-42.5859375,117,16,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_2.mp3,zh,trie_tree,3,265.82,36.00161862373352,0.13543607939106733,14.53515625,117,16,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_2.mp3,zh,replace,3,265.82,36.19311451911926,0.136156476258819,-5.8203125,117,16,True,basic_performance,small,
【课外侦探组1】第10章，惹了一个鲁莽家长（上）_2.mp3,zh,regular_expression,3,265.82,35.81642436981201,0.13473938894670082,-5.74609375,117,16,True,basic_performance,small,
004 禁忌森林 The Forbidden Forest.mp3,en,DFA,3,734.14,71.26396179199219,0.09707135122999999,157.39453125,120,63,True,basic_performance,small,
004 禁忌森林 The Forbidden Forest.mp3,en,aho_corasick,3,734.14,72.03577327728271,0.09812266499207606,-13.00390625,120,63,True,basic_performance,small,
004 禁忌森林 The Forbidden Forest.mp3,en,trie_tree,3,734.14,71.51519250869751,0.09741356213896193,-0.11328125,120,63,True,basic_performance,small,
004 禁忌森林 The Forbidden Forest.mp3,en,replace,3,734.14,74.65920495986938,0.10169614100834908,18.23828125,120,63,True,basic_performance,small,
004 禁忌森林 The Forbidden Forest.mp3,en,regular_expression,3,734.14,71.6003315448761,0.0975295332564308,-13.37890625,120,63,True,basic_performance,small,
005 不会跳舞的公主 Princess Who Couldn't Dance.mp3,en,DFA,3,803.1,72.66443991661072,0.09047994012776829,176.42578125,207,54,True,basic_performance,small,
005 不会跳舞的公主 Princess Who Couldn't Dance.mp3,en,aho_corasick,3,803.1,70.91216135025024,0.08829804675663086,4.94921875,207,54,True,basic_performance,small,
005 不会跳舞的公主 Princess Who Couldn't Dance.mp3,en,trie_tree,3,803.1,70.68611907958984,0.08801658458422344,1.8203125,207,54,True,basic_performance,small,
